spf_method,mode,n_nodes,rows,cols,area_proxy_enabled,root_system_id,spt_vertices,duration_ns,duration_us
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1824744,1824.744000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1782462,1782.462000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1809104,1809.104000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1782991,1782.991000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1820795,1820.795000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1777221,1777.221000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,2076163,2076.163000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,2037501,2037.501000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,2028340,2028.340000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1880409,1880.409000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1822615,1822.615000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1818334,1818.334000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1854176,1854.176000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1800303,1800.303000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1809223,1809.223000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1869578,1869.578000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1839655,1839.655000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2965249,2965.249000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3318625,3318.625000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2913305,2913.305000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3161803,3161.803000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2958068,2958.068000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3202927,3202.927000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2907705,2907.705000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3160923,3160.923000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2939147,2939.147000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3184215,3184.215000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2903804,2903.804000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3330986,3330.986000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2915325,2915.325000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3169594,3169.594000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2907854,2907.854000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3158413,3158.413000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2901725,2901.725000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3152833,3152.833000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2904974,2904.974000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3144152,3144.152000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2903395,2903.395000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3325036,3325.036000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,3523530,3523.530000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3417192,3417.192000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2922116,2922.116000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3287612,3287.612000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2971459,2971.459000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3186276,3186.276000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,3066296,3066.296000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3358648,3358.648000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2928506,2928.506000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3163623,3163.623000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2974210,2974.210000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3256490,3256.490000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2904204,2904.204000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3191276,3191.276000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2908305,2908.305000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3187336,3187.336000
real_compute_spt,flat,100,10,10,false,0000.0000.0100,101,2964619,2964.619000
real_compute_spt,proxy,100,10,10,true,0000.0000.0100,100,3162494,3162.494000
